iter	Passed	Remaining
425	1939	2613
426	1944	2608
427	1948	2604
428	1953	2600
429	1958	2595
430	1962	2591
431	1967	2586
432	1971	2581
433	1976	2577
434	1980	2572
435	1985	2567
436	1989	2563
437	1994	2558
438	1998	2554
439	2003	2549
440	2008	2545
441	2013	2541
442	2017	2536
443	2021	2531
444	2026	2527
445	2031	2522
446	2035	2518
447	2040	2514
448	2044	2509
449	2049	2504
450	2053	2500
451	2058	2495
452	2062	2491
453	2067	2486
454	2072	2482
455	2077	2478
456	2082	2474
457	2086	2469
458	2091	2465
459	2096	2460
460	2101	2456
461	2105	2451
462	2110	2448
463	2115	2443
464	2119	2438
465	2123	2433
466	2128	2429
467	2133	2424
468	2137	2420
469	2142	2415
470	2146	2411
471	2151	2406
472	2155	2401
473	2160	2397
474	2164	2392
475	2168	2387
476	2173	2382
477	2177	2377
478	2181	2373
479	2186	2368
480	2190	2363
481	2194	2358
482	2199	2354
483	2203	2349
484	2207	2344
485	2212	2339
486	2216	2334
487	2220	2330
488	2225	2325
489	2229	2320
490	2234	2315
491	2238	2311
492	2242	2306
493	2246	2301
494	2251	2296
495	2256	2292
496	2260	2287
497	2264	2283
498	2269	2278
499	2273	2273
500	2277	2268
501	2282	2264
502	2286	2259
503	2291	2254
504	2295	2250
505	2300	2245
506	2305	2241
507	2309	2236
508	2314	2232
509	2318	2227
510	2323	2223
511	2327	2218
512	2332	2214
513	2336	2209
514	2341	2204
515	2345	2200
516	2350	2195
517	2354	2191
518	2358	2186
519	2363	2181
520	2367	2176
521	2372	2172
522	2376	2167
523	2380	2162
524	2385	2157
525	2389	2153
526	2393	2148
527	2398	2144
528	2403	2139
529	2407	2135
530	2412	2130
531	2416	2125
532	2420	2121
533	2425	2116
534	2429	2111
535	2434	2107
536	2439	2102
537	2443	2098
538	2448	2093
539	2452	2089
540	2456	2084
541	2461	2079
542	2465	2075
543	2470	2070
544	2474	2065
545	2479	2061
546	2483	2056
547	2487	2052
548	2492	2047
549	2496	2042
550	2501	2038
551	2505	2033
552	2510	2029
553	2515	2024
554	2519	2020
555	2523	2015
556	2528	2010
557	2532	2006
558	2537	2001
559	2541	1996
560	2545	1992
561	2550	1987
562	2554	1982
