iter	RMSE
161	6.791585651
162	6.786644134
163	6.7825431
164	6.779238506
165	6.778030289
166	6.773366137
167	6.770252876
168	6.76589985
169	6.763914557
170	6.760880958
171	6.757702809
172	6.754830334
173	6.75117845
174	6.747038711
175	6.742533515
176	6.739450363
177	6.736469939
178	6.732502615
179	6.727709875
180	6.724154723
181	6.719844275
182	6.714777669
183	6.712187031
184	6.709781314
185	6.708245661
186	6.704628714
187	6.701042711
188	6.698428079
189	6.694615267
190	6.688615053
191	6.685923189
192	6.682300111
193	6.679724914
194	6.677337376
195	6.674308319
196	6.672102013
197	6.668114878
198	6.66489924
199	6.660477695
200	6.657573771
201	6.654140797
202	6.650556002
203	6.645089289
204	6.643851286
205	6.641625944
206	6.638807541
207	6.633530116
208	6.629666748
209	6.627313931
210	6.622379061
211	6.617997587
212	6.613793081
213	6.611997807
214	6.611053511
215	6.60781547
216	6.605041487
217	6.599904953
218	6.596373074
219	6.591744474
220	6.586920131
221	6.580947453
222	6.578733503
223	6.575439267
224	6.57360271
225	6.570418347
226	6.566959528
227	6.563844714
228	6.562630534
229	6.559883718
230	6.557357542
231	6.555348017
232	6.552468468
233	6.549441228
234	6.547979662
235	6.544444385
236	6.542069253
237	6.536476446
238	6.534464835
239	6.528014771
240	6.524118003
241	6.521666561
242	6.518746461
243	6.516422248
244	6.513709925
245	6.510040623
246	6.506497673
247	6.504381333
248	6.500531058
249	6.497390484
250	6.495034544
251	6.492017498
252	6.489431574
253	6.488601281
254	6.486182603
255	6.483061132
256	6.480550667
257	6.477685752
258	6.474176449
259	6.469570095
260	6.466059761
261	6.461881004
262	6.458029786
263	6.454515398
264	6.451510967
265	6.447421952
266	6.443259863
267	6.439131537
268	6.435717301
269	6.431562296
270	6.428919431
271	6.423674718
272	6.419112541
273	6.416373661
274	6.413999049
275	6.411650679
276	6.407810325
277	6.404989331
278	6.401769611
279	6.398098127
280	6.395001523
281	6.392165986
282	6.388913939
283	6.388060657
284	6.384238475
285	6.381739447
286	6.378016869
287	6.374617551
288	6.371519072
289	6.366841505
290	6.363422137
291	6.360541921
292	6.357512183
293	6.355605358
294	6.353017977
295	6.350254146
296	6.344932231
297	6.340367491
298	6.3382482
299	6.333954974
300	6.329840937
301	6.32653195
302	6.324245322
303	6.323296837
304	6.319413856
305	6.31660656
306	6.313795533
307	6.310611555
308	6.30701396
309	6.304822852
310	6.30160064
311	6.29736415
312	6.2938684
313	6.29095735
314	6.284265011
315	6.280708097
316	6.278405294
317	6.27420035
318	6.27146411
319	6.267312371
320	6.26445668
321	6.259163302
322	6.257385383
323	6.253192889
324	6.249616297
325	6.246328734
326	6.243696102
327	6.240728432
328	6.239144534
329	6.234373017
330	6.230423865
331	6.227464073
332	6.222934507
333	6.219298785
334	6.216428931
335	6.212154408
336	6.20955815
337	6.206233799
338	6.201158312
339	6.198484401
340	6.195955038
341	6.191641439
342	6.187752905
343	6.184549499
344	6.181682681
345	6.177800175
346	6.175507698
347	6.17130026
348	6.16572036
349	6.1625417
350	6.1577468
351	6.156235812
352	6.151681486
353	6.147972808
354	6.146224464
355	6.142754497
356	6.139591692
357	6.13523758
358	6.132982854
359	6.130673049
360	6.126890077
361	6.123858894
362	6.119513918
363	6.114926356
364	6.111458357
365	6.108780084
366	6.106883546
367	6.103687427
368	6.098123871
369	6.095789093
370	6.092877745
371	6.089445004
372	6.087950188
373	6.084328467
374	6.080836929
375	6.078080848
376	6.077925691
377	6.075854122
378	6.072832403
379	6.068488112
380	6.066125957
381	6.063579287
382	6.061774546
383	6.059855672
384	6.056018364
385	6.053633647
386	6.05003206
387	6.046422075
388	6.043070982
389	6.040211178
390	6.0386536
391	6.036415672
392	6.032894991
393	6.03031676
394	6.02830211
395	6.025211759
396	6.02123576
397	6.015967628
398	6.010769234
399	6.008312882
400	6.005427568
401	6.001863229
402	5.999271373
403	5.996050901
404	5.992947338
405	5.990914887
406	5.987607756
407	5.985393309
408	5.981050778
409	5.978382048
410	5.976093428
411	5.971447742
412	5.968662677
413	5.965326073
414	5.962923848
415	5.959831444
416	5.955528472
417	5.950532166
418	5.947891244
419	5.945118639
420	5.940061069
421	5.934872485
422	5.930669707
423	5.927768656
424	5.923526859
425	5.92028068
426	5.91741197
427	5.91530656
428	5.910005243
429	5.906774779
430	5.903300988
431	5.899515564
432	5.895562541
433	5.891556876
434	5.888523113
435	5.885535502
436	5.881452257
437	5.878562846
438	5.875877708
439	5.872713974
440	5.86990461
441	5.866879526
442	5.866665069
443	5.863066424
444	5.860536564
445	5.85656077
446	5.851759378
447	5.848778086
448	5.845777205
449	5.843029723
450	5.842182799
451	5.839351943
452	5.833888724
453	5.831355596
454	5.828551612
455	5.825186743
456	5.821116189
457	5.816394725
458	5.8129873
459	5.811261691
460	5.808936285
461	5.806999657
462	5.804221157
463	5.801444845
464	5.799082067
465	5.794961258
466	5.791498619
467	5.789611483
468	5.787814357
469	5.785622991
470	5.782622831
471	5.779823604
472	5.776168151
473	5.773675939
474	5.770646714
475	5.767875099
476	5.76464949
477	5.762782884
478	5.760261657
479	5.755784121
480	5.752307363
481	5.750057908
482	5.746748795
483	5.743494326
484	5.742814253
485	5.738452829
486	5.735875913
487	5.732510814
488	5.730352714
489	5.728291425
490	5.725955523
491	5.723417562
492	5.720014339
493	5.717466471
494	5.71422256
495	5.710514265
496	5.708757571
497	5.704477755
498	5.700996342
499	5.697436403
500	5.694611787
501	5.690804883
502	5.688265345
503	5.684633652
504	5.682018671
505	5.680036057
506	5.67592882
507	5.67407561
508	5.671044188
509	5.667176829
510	5.665506865
511	5.66211164
512	5.65969383
513	5.657944384
514	5.653620177
515	5.650386894
516	5.647022677
517	5.644238439
518	5.642729003
519	5.641110494
520	5.638062311
521	5.633745561
522	5.630997255
523	5.628606954
524	5.626573281
525	5.623976585
526	5.620397856
527	5.617005772
528	5.613991762
529	5.609594558
530	5.607121569
531	5.604645914
532	5.601741022
533	5.596289054
534	5.594472292
535	5.591953649
536	5.589168319
537	5.586138775
538	5.584543342
539	5.581998024
540	5.57718972
541	5.574901465
542	5.571292256
543	5.569104518
544	5.566767846
545	5.563079548
546	5.561012594
547	5.558818807
548	5.556133167
549	5.553154871
550	5.550678471
551	5.548726852
552	5.545346767
553	5.541313543
554	5.538552288
555	5.535478397
556	5.533831285
557	5.529991269
558	5.527361101
559	5.526320323
560	5.523242952
561	5.520400738
562	5.51780057
563	5.51656182
564	5.513910549
565	5.511507143
566	5.507801691
567	5.505529816
568	5.502323728
569	5.499574899
570	5.496709649
571	5.493684243
572	5.490585029
573	5.487604415
574	5.484109035
575	5.48126209
576	5.478504434
577	5.474652201
578	5.472331659
579	5.469701385
580	5.466962856
581	5.462231599
582	5.460008304
583	5.457106901
584	5.453395763
585	5.450466888
586	5.448495739
587	5.44518006
588	5.442646775
589	5.440163417
590	5.437921839
591	5.435993581
592	5.433984489
593	5.431538626
594	5.428704364
595	5.425758443
596	5.42198178
597	5.4195741
598	5.417426309
599	5.41521378
600	5.412624896
601	5.409622731
602	5.406877622
603	5.406633056
604	5.402819618
605	5.400228065
606	5.398759603
607	5.394413834
608	5.390614824
609	5.388908773
610	5.385922596
611	5.383505716
612	5.38100975
613	5.378917584
614	5.376130917
615	5.372995868
616	5.372357527
617	5.369599021
618	5.365428992
619	5.363414599
620	5.36107205
621	5.358662971
622	5.355484104
623	5.352537705
624	5.350475974
625	5.350358917
626	5.350260318
627	5.346386224
628	5.343558504
629	5.340642579
630	5.338122181
631	5.334897884
632	5.332863648
633	5.330987956
634	5.327915112
635	5.326293052
636	5.324056055
637	5.320080945
638	5.316911085
639	5.314422724
640	5.310489904
641	5.307234671
642	5.303594533
643	5.300940079
644	5.297966475
645	5.296114847
646	5.296034527
647	5.293069115
648	5.290102754
649	5.287575706
650	5.28652521
651	5.28227199
652	5.278342106
653	5.276790145
654	5.273980039
655	5.272806642
656	5.270611551
657	5.267737815
658	5.266551757
659	5.264308765
660	5.261196126
661	5.259125883
662	5.257234995
663	5.254946099
664	5.252639161
665	5.249333318
666	5.246655566
667	5.244654664
668	5.241163957
669	5.238472683
670	5.236012826
671	5.233745621
672	5.22967099
673	5.226253487
674	5.224202094
675	5.221478418
676	5.217673642
677	5.214951377
678	5.213094916
679	5.210538233
680	5.208482349
681	5.204645375
682	5.203092071
683	5.201353431
684	5.199200705
685	5.197139514
686	5.19443682
687	5.192052454
688	5.189955083
689	5.187827355
690	5.185586081
691	5.182039508
692	5.179672576
693	5.177614183
694	5.174830663
695	5.172594352
696	5.171280674
697	5.168533238
698	5.166197173
699	5.164624622
700	5.163398449
701	5.161229272
702	5.159206899
703	5.155743439
704	5.153311535
705	5.15230787
706	5.150302544
707	5.1491778
708	5.144886707
709	5.14241094
710	5.14043773
711	5.138475758
712	5.134608934
713	5.132553513
714	5.130582849
715	5.128855323
716	5.125758647
717	5.123757322
718	5.121301495
719	5.119915832
720	5.11716488
721	5.115330103
722	5.113110358
723	5.110076396
724	5.106349073
725	5.103938816
726	5.100849049
727	5.098760348
728	5.095646815
729	5.094450434
730	5.090994888
731	5.088701764
732	5.085072687
733	5.082017918
734	5.07816054
735	5.075621163
736	5.074267902
737	5.071961187
738	5.070568483
739	5.067619159
740	5.065328691
741	5.063088708
742	5.060530589
743	5.05838821
744	5.054922777
745	5.051919343
746	5.049251002
747	5.046588299
748	5.043273225
749	5.040865471
750	5.038211152
751	5.035689581
752	5.033503339
753	5.032108404
754	5.029996054
755	5.027090734
756	5.024926813
757	5.021724959
758	5.020193163
759	5.01951702
760	5.016918502
761	5.013869935
762	5.010604348
763	5.008056824
764	5.005505261
765	5.003267032
766	5.000820265
767	4.997776543
768	4.997700199
769	4.995708276
770	4.99242262
771	4.990528282
772	4.988012271
773	4.985254105
774	4.983037466
775	4.981446988
776	4.978935068
777	4.975857287
778	4.972360544
779	4.970563239
780	4.968429741
781	4.966139353
782	4.964400697
783	4.962469843
784	4.958578716
785	4.955427536
786	4.952763327
787	4.949746023
788	4.946920233
789	4.944875215
790	4.943103679
791	4.941293416
792	4.939984766
793	4.938494307
794	4.936439104
795	4.934134315
796	4.931825829
797	4.93014601
798	4.927698445
799	4.924733627
800	4.921702385
801	4.918925505
802	4.918716234
803	4.916757041
804	4.914127447
805	4.911019239
806	4.908900467
807	4.906222291
808	4.903398033
809	4.900526518
810	4.899481515
811	4.897990306
812	4.89491916
813	4.892952876
814	4.891096223
815	4.889149755
816	4.885551312
817	4.882524807
818	4.882480994
819	4.878564099
820	4.876488349
821	4.874829321
822	4.873356803
823	4.871480794
824	4.869976336
825	4.869885375
826	4.86841113
827	4.866256105
828	4.862874647
829	4.860886596
830	4.858604036
831	4.854942847
832	4.852352233
833	4.850686063
834	4.847882885
835	4.84553351
836	4.843950416
837	4.842157522
838	4.840141728
839	4.836176895
840	4.833268721
841	4.831528525
842	4.828249642
843	4.826006533
844	4.824314393
845	4.821903815
846	4.820616127
847	4.818689179
848	4.816605203
849	4.815147302
850	4.81239584
851	4.809719833
852	4.808339864
853	4.805354577
854	4.803076552
855	4.801229286
856	4.798721296
857	4.794533932
858	4.791776302
859	4.790107805
860	4.788029222
861	4.786111064
862	4.783913725
863	4.781385543
864	4.779188701
865	4.775348078
866	4.772664954
867	4.770036705
868	4.767647702
869	4.766016303
870	4.762938984
871	4.760370682
872	4.759171659
873	4.756728356
874	4.754830968
875	4.752965272
876	4.751279771
877	4.748422239
878	4.74622371
879	4.743629125
880	4.741636313
881	4.739257116
882	4.737628734
883	4.735454699
884	4.73538422
885	4.733135091
886	4.731089735
887	4.731013658
888	4.729074136
889	4.72819712
890	4.726593789
891	4.724112948
892	4.721435354
893	4.717926171
894	4.715316556
895	4.712939915
896	4.711449165
897	4.710669132
898	4.708994416
899	4.707333111
900	4.705287854
901	4.704058901
902	4.700904994
903	4.699257638
904	4.697733631
905	4.695252953
906	4.692492751
907	4.692445283
908	4.691011842
909	4.688846469
910	4.686605624
911	4.685211366
912	4.682746924
913	4.681869458
914	4.678582626
915	4.67598015
916	4.673070235
917	4.673026571
918	4.672994828
919	4.670511905
920	4.670447244
921	4.669758754
922	4.668182564
923	4.665918699
924	4.664298368
925	4.662167161
926	4.659526841
927	4.657253179
928	4.654931414
929	4.653484193
930	4.650707982
931	4.647850204
932	4.645264159
933	4.642544609
934	4.640689357
935	4.640655019
936	4.637176622
937	4.635809998
938	4.633662213
939	4.631879158
940	4.629278023
941	4.626478529
942	4.623649351
943	4.62169504
944	4.6195396
945	4.617741076
946	4.617514413
947	4.617330215
948	4.615685504
949	4.613495588
950	4.61024608
951	4.60844349
952	4.606507778
953	4.604489846
954	4.60217038
955	4.599992659
956	4.598214062
957	4.59689408
958	4.594484193
959	4.593017573
960	4.592240307
961	4.590331398
962	4.58874927
963	4.586451702
964	4.583953666
965	4.58215193
966	4.579541744
967	4.577773145
968	4.576066833
969	4.573117579
970	4.571325005
971	4.570321447
972	4.567843186
973	4.565821005
974	4.564269038
975	4.562098214
976	4.559586632
977	4.557363232
978	4.555156169
979	4.552680685
980	4.549373047
981	4.547247029
982	4.54537502
983	4.543832466
984	4.541452573
985	4.541270432
986	4.538902624
987	4.537311051
988	4.535590525
989	4.534215972
990	4.532853836
991	4.531080037
992	4.529428945
993	4.527377137
994	4.525392781
995	4.52381627
996	4.522295799
997	4.521275648
998	4.518890473
999	4.516566719
